0,1,2,3,4,Year
Hits,Vernon Wells,Toronto,215,Top 25,2003
Home Runs,Alex Rodriguez,Texas,47,Top 25,2003
On Base Percentage,Manny Ramirez,Boston,.427,Top 25,2003
RBI,Carlos Delgado,Toronto,145,Top 25,2003
Runs,Alex Rodriguez,Texas,124,Top 25,2003
Slugging Average,Alex Rodriguez,Texas,.600,Top 25,2003
Stolen Bases,Carl Crawford,Tampa Bay,55,Top 25,2003
Total Bases,Vernon Wells,Toronto,373,Top 25,2003
Triples,Cristian Guzman,Minnesota,14,Top 25,2003
Statistic,Name,Team,#,Top 25,2003
2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004
Statistic,Name,Team,#,Top 25,2004
Base on Balls,Eric Chavez,Oakland,95,Top 25,2004
Batting Average,Ichiro Suzuki,Seattle,.372,Top 25,2004
Doubles,Brian Roberts,Baltimore,50,Top 25,2004
Hits,Ichiro Suzuki,Seattle,262,Top 25,2004
Home Runs,Manny Ramirez,Boston,43,Top 25,2004
On Base Percentage,Melvin Mora,Baltimore,.419,Top 25,2004
RBI,Miguel Tejada,Baltimore,150,Top 25,2004
Runs,Vladimir Guerrero,Anaheim,124,Top 25,2004
Slugging Average,Manny Ramirez,Boston,.613,Top 25,2004
Stolen Bases,Carl Crawford,Tampa Bay,59,Top 25,2004
Total Bases,Vladimir Guerrero,Anaheim,366,Top 25,2004
Triples,Carl Crawford,Tampa Bay,19,Top 25,2004
Statistic,Name,Team,#,Top 25,2004
2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005
Statistic,Name,Team,#,Top 25,2005
Base on Balls,Jason Giambi,New York,108,Top 25,2005
Batting Average,Michael Young,Texas,.331,Top 25,2005
Doubles,Miguel Tejada,Baltimore,50,Top 25,2005
Hits,Michael Young,Texas,221,Top 25,2005
Home Runs,Alex Rodriguez,New York,48,Top 25,2005
On Base Percentage,Jason Giambi,New York,.440,Top 25,2005
RBI,David Ortiz,Boston,148,Top 25,2005
Runs,Alex Rodriguez,New York,124,Top 25,2005
Slugging Average,Alex Rodriguez,New York,.610,Top 25,2005
Stolen Bases,Chone Figgins,Los Angeles,62,Top 25,2005
Total Bases,Mark Teixeira,Texas,370,Top 25,2005
Triples,Carl Crawford,Tampa Bay,15,Top 25,2005
Statistic,Name,Team,#,Top 25,2005
2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006
Statistic,Name,Team,#,Top 25,2006
Base on Balls,David Ortiz,Boston,119,Top 25,2006
Batting Average,Joe Mauer,Minnesota,.347,Top 25,2006
Doubles,Grady Sizemore,Cleveland,53,Top 25,2006
Hits,Ichiro Suzuki,Seattle,224,Top 25,2006
Home Runs,David Ortiz,Boston,54,Top 25,2006
On Base Percentage,Manny Ramirez,Boston,.439,Top 25,2006
RBI,David Ortiz,Boston,137,Top 25,2006
Runs,Grady Sizemore,Cleveland,134,Top 25,2006
Slugging Average,Travis Hafner,Cleveland,.659,Top 25,2006
Stolen Bases,Carl Crawford,Tampa Bay,58,Top 25,2006
Total Bases,David Ortiz,Boston,355,Top 25,2006
Triples,Carl Crawford,Tampa Bay,16,Top 25,2006
Statistic,Name,Team,#,Top 25,2006
2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006
2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007 American League Player Review ← 2006 | 2007 A.L. Hitting Statistics League Leaders | 2008 →,2007
Statistic,Name,Team,#,Top 25,2007
Base on Balls,David Ortiz,Boston,111,Top 25,2007
Batting Average,Magglio Ordonez,Detroit,.363,Top 25,2007
Doubles,Magglio Ordonez,Detroit,54,Top 25,2007
Hits,Ichiro Suzuki,Seattle,238,Top 25,2007
Home Runs,Alex Rodriguez,New York,54,Top 25,2007
On Base Percentage,David Ortiz,Boston,.445,Top 25,2007
RBI,Alex Rodriguez,New York,156,Top 25,2007
Runs,Alex Rodriguez,New York,143,Top 25,2007
Slugging Average,Alex Rodriguez,New York,.645,Top 25,2007
Stolen Bases,Carl Crawford,Tampa Bay,50,Top 25,2007
Stolen Bases,Brian Roberts,Baltimore,50,Top 25,2007
Total Bases,Alex Rodriguez,New York,376,Top 25,2007
Triples,Curtis Granderson,Detroit,23,Top 25,2007
Statistic,Name,Team,#,Top 25,2007
2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007
2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008 American League Player Review ← 2007 | 2008 Hitting Statistics League Leaders | 2009 →,2008
Statistic,Name,Team,#,Top 25,2008
Base on Balls,Jack Cust,Oakland,111,Top 25,2008
Batting Average,Joe Mauer,Minnesota,.330,Top 25,2008
Doubles,Dustin Pedroia,Boston,54,Top 25,2008
Hits,Dustin Pedroia,Boston,213,Top 25,2008
Hits,Ichiro Suzuki,Seattle,213,Top 25,2008
Home Runs,Miguel Cabrera,Detroit,37,Top 25,2008
On Base Percentage,Milton Bradley,Texas,.436,Top 25,2008
RBI,Josh Hamilton,Texas,130,Top 25,2008
Runs,Dustin Pedroia,Boston,118,Top 25,2008
Slugging Average,Alex Rodriguez,New York,.573,Top 25,2008
Stolen Bases,Jacoby Ellsbury,Boston,50,Top 25,2008
Total Bases,Josh Hamilton,Texas,331,Top 25,2008
Triples,Curtis Granderson,Detroit,13,Top 25,2008
Statistic,Name,Team,#,Top 25,2008
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2008
2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009 American League Player Review ← 2008 | 2009 Hitting Statistics League Leaders | 2010 →,2009
Statistic,Name,Team,#,Top 25,2009
Base on Balls,Chone Figgins,Los Angeles,101,Top 25,2009
Batting Average,Joe Mauer,Minnesota,.365,Top 25,2009
Doubles,Brian Roberts,Baltimore,56,Top 25,2009
Hits,Ichiro Suzuki,Seattle,225,Top 25,2009
Home Runs,Carlos Pena,Tampa Bay,39,Top 25,2009
Home Runs,Mark Teixeira,New York,39,Top 25,2009
On Base Percentage,Joe Mauer,Minnesota,.444,Top 25,2009
RBI,Mark Teixeira,New York,122,Top 25,2009
Runs,DustinPedroia,Boston,115,Top 25,2009
Slugging Average,Joe Mauer,Minnesota,.587,Top 25,2009
Stolen Bases,Jacoby Ellsbury,Boston,70,Top 25,2009
Total Bases,Mark Teixeira,New York,344,Top 25,2009
Triples,Jacoby Ellsbury,Boston,10,Top 25,2009
Triples,Denard Span,Minnesota,10,Top 25,2009
Statistic,Name,Team,#,Top 25,2009
2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010 American League Player Review ← 2009 | 2010 Hitting Statistics League Leaders | 2011 →,2010
Statistic,Name,Team,#,Top 25,2010
Base on Balls,Daric Barton,Oakland,110,Top 25,2010
Batting Average,Josh Hamilton,Texas,.359,Top 25,2010
Doubles,Adrian Beltre,Boston,49,Top 25,2010
Hits,Ichiro Suzuki,Seattle,214,Top 25,2010
Home Runs,Jose Bautista,Toronto,54,Top 25,2010
On Base Percentage,Miguel Cabrera,Detroit,.420,Top 25,2010
RBI,Miguel Cabrera,Detroit,126,Top 25,2010
Runs,Mark Teixeira,New York,113,Top 25,2010
Slugging Average,Josh Hamilton,Texas,.633,Top 25,2010
Stolen Bases,Juan Pierre,Chicago,68,Top 25,2010
Total Bases,Jose Bautista,Toronto,351,Top 25,2010
Triples,Carl Crawford,Tampa Bay,13,Top 25,2010
Statistic,Name,Team,#,Top 25,2010
2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2010
